令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,
第６－１表　産業(中分類)別民営事業所数、男女別従業者数、常用雇用者数、出向・派遣従業者数及び事業従事者数－全国、都道府県、市区町村,,,,,,,,,
,,,,,,,,,
1) 「従業者数_男女計」など、男女計の人数には男女の別「不詳」を含む,,,,,,,,,
2) 他からの出向・派遣従業者数：出向・派遣の別「不詳」を含む,,,,,,,,,
3) 事業従事者数＝「従業者数」－「うち他への出向・派遣従業者数」＋「他からの出向・派遣従業者数」,,,,,,,,,
,,,,,事業所数,従業者数_男女計,従業者数_男,従業者数_女,従業者数_うち常用雇用者_男女計
,,,,,(事業所),(人),(人),(人),(人)
地域識別コード,地域区分,階層,産業大分類,産業中分類, ,,,,
2,35202_宇部市,4,E,10_飲料・たばこ・飼料製造業,7,77,52,25,68
2,35202_宇部市,4,E,11_繊維工業,13,451,66,385,437
2,35202_宇部市,4,E,12_木材・木製品製造業（家具を除く）,7,74,63,11,57
2,35202_宇部市,4,E,13_家具・装備品製造業,13,41,31,10,20
2,35202_宇部市,4,E,14_パルプ・紙・紙加工品製造業,1,61,54,7,61
2,35202_宇部市,4,E,15_印刷・同関連業,16,250,182,68,218
2,35202_宇部市,4,E,16_化学工業,23,"3,706","3,315",391,"3,690"
2,35202_宇部市,4,E,17_石油製品・石炭製品製造業,3,7,5,2,5
2,35202_宇部市,4,E,18_プラスチック製品製造業（別掲を除く）,13,397,288,109,376
2,35202_宇部市,4,E,19_ゴム製品製造業,4,16,14,2,12
2,35202_宇部市,4,E,20_なめし革・同製品・毛皮製造業,-,-,-,-,-
2,35202_宇部市,4,E,21_窯業・土石製品製造業,20,938,797,141,908
2,35202_宇部市,4,E,22_鉄鋼業,11,363,329,34,339
2,35202_宇部市,4,E,23_非鉄金属製造業,4,38,31,7,30
2,35202_宇部市,4,E,24_金属製品製造業,61,824,685,139,697
2,35202_宇部市,4,E,25_はん用機械器具製造業,29,501,394,107,437
2,35202_宇部市,4,E,26_生産用機械器具製造業,25,"1,341","1,182",159,"1,266"
2,35202_宇部市,4,E,27_業務用機械器具製造業,7,151,89,62,121
2,35202_宇部市,4,E,28_電子部品・デバイス・電子回路製造業,5,407,305,102,399
2,35202_宇部市,4,E,29_電気機械器具製造業,11,254,182,72,239
2,35202_宇部市,4,E,30_情報通信機械器具製造業,-,-,-,-,-
2,35202_宇部市,4,E,31_輸送用機械器具製造業,10,92,54,38,73
2,35202_宇部市,4,E,32_その他の製造業,23,109,71,38,70
2,35202_宇部市,2,F,F_電気・ガス・熱供給・水道業,5,181,180,1,181
2,35202_宇部市,4,F,33_電気業,5,181,180,1,181
2,35202_宇部市,4,F,34_ガス業,-,-,-,-,-
2,35202_宇部市,4,F,35_熱供給業,-,-,-,-,-
2,35202_宇部市,4,F,36_水道業,-,-,-,-,-
2,35202_宇部市,2,G,G_情報通信業,54,875,623,252,802
2,35202_宇部市,3,G1,G1_情報通信業（通信業，放送業，映像・音声・文字情報制作業）,13,119,71,48,96
2,35202_宇部市,4,G1,37_通信業,1,1,1,-,1
2,35202_宇部市,4,G1,38_放送業,2,3,2,1,3
2,35202_宇部市,4,G1,41_映像・音声・文字情報制作業,10,115,68,47,92
2,35202_宇部市,3,G2,G2_情報通信業（情報サービス業，インターネット附随サービス業）,41,756,552,204,706
2,35202_宇部市,4,G2,39_情報サービス業,36,722,532,190,678
2,35202_宇部市,4,G2,40_インターネット附随サービス業,5,34,20,14,28
2,35202_宇部市,2,H,H_運輸業，郵便業,142,"3,933","3,378",555,"3,717"
2,35202_宇部市,4,H,42_鉄道業,1,2,1,1,2
2,35202_宇部市,4,H,43_道路旅客運送業,14,476,419,57,456
2,35202_宇部市,4,H,44_道路貨物運送業,66,"1,833","1,516",317,"1,719"
2,35202_宇部市,4,H,45_水運業,12,627,594,33,606
2,35202_宇部市,4,H,46_航空運輸業,7,5,5,-,4
2,35202_宇部市,4,H,47_倉庫業,6,58,30,28,52
2,35202_宇部市,4,H,48_運輸に附帯するサービス業,36,932,813,119,878
2,35202_宇部市,4,H,49_郵便業（信書便事業を含む）,-,-,-,-,-
2,35202_宇部市,2,I,I_卸売業，小売業,"1,627","13,280","6,503","6,532","11,390"
2,35202_宇部市,3,I1,I1_卸売業,390,"3,493","2,331","1,162","2,951"
2,35202_宇部市,4,I1,50_各種商品卸売業,2,9,6,3,7
2,35202_宇部市,4,I1,51_繊維・衣服等卸売業,8,73,36,37,62
2,35202_宇部市,4,I1,52_飲食料品卸売業,66,630,387,243,493
2,35202_宇部市,4,I1,53_建築材料，鉱物・金属材料等卸売業,121,"1,087",725,362,930
2,35202_宇部市,4,I1,54_機械器具卸売業,135,"1,219",918,301,"1,074"
2,35202_宇部市,4,I1,55_その他の卸売業,58,475,259,216,385
2,35202_宇部市,3,I2,I2_小売業,"1,237","9,787","4,172","5,370","8,439"
2,35202_宇部市,4,I2,56_各種商品小売業,3,115,41,74,115
2,35202_宇部市,4,I2,57_織物・衣服・身の回り品小売業,97,480,121,323,409
2,35202_宇部市,4,I2,58_飲食料品小売業,376,"4,465","1,432","2,831","4,059"
2,35202_宇部市,4,I2,59_機械器具小売業,225,"1,436","1,034",402,"1,198"
2,35202_宇部市,4,I2,60_その他の小売業,486,"2,781","1,284","1,497","2,239"
2,35202_宇部市,4,I2,61_無店舗小売業,50,510,260,243,419
2,35202_宇部市,2,J,J_金融業，保険業,119,"1,261",448,800,"1,163"
2,35202_宇部市,4,J,62_銀行業,21,341,155,186,340
2,35202_宇部市,4,J,63_協同組織金融業,12,106,51,55,106
2,35202_宇部市,4,J,64_貸金業，クレジットカード業等非預金信用機関,4,12,3,9,11
2,35202_宇部市,4,J,65_金融商品取引業，商品先物取引業,7,85,54,31,73
2,35202_宇部市,4,J,66_補助的金融業等,1,7,5,2,7
2,35202_宇部市,4,J,67_保険業（保険媒介代理業，保険サービス業を含む）,74,710,180,517,626
2,35202_宇部市,2,K,K_不動産業，物品賃貸業,294,"1,310",683,626,901
2,35202_宇部市,3,K1,K1_不動産業,243,943,397,545,579
2,35202_宇部市,4,K1,68_不動産取引業,79,273,141,131,177
2,35202_宇部市,4,K1,69_不動産賃貸業・管理業,164,670,256,414,402
2,35202_宇部市,3,K2,K2_物品賃貸業,51,367,286,81,322
2,35202_宇部市,4,K2,70_物品賃貸業,51,367,286,81,322
